mcore,zenv,zenvice,zenvrock,zmantle,zmantleice,zmantlerock,p12,T0,req,j2,j4
0.4833031590377021,0.4125648823997359,0.1662038205196196,0.2463610618801162,0.8695313143485852,0.5492935607750891,0.3202377535734961,0.2430050369067685,76.89024604385693,25562.5264,3509.97474,-34.8766402
0.6482265397086104,0.429088602933463,0.1796453608048885,0.2494432421285745,0.8593961799830512,0.5168876818220313,0.3425084981610199,0.251881610863708,74.93662062406794,25556.9636,3511.4436899999996,-35.4099178
0.6739273249547555,0.4069782490449856,0.1771842877833272,0.2297939612616583,0.8703145079828114,0.6035861778151376,0.2667283301676739,0.2349784155589183,72.75940340514575,25560.6736,3512.79018,-35.3814222
0.3261452696321251,0.4246461260843075,0.1508164348912887,0.2738296911930188,0.8280614329261535,0.2409542655545644,0.5871071673715891,0.262717079230533,74.03059162465956,25559.5008,3511.69709,-34.8417368
0.3794120977224315,0.3773088665256491,0.1854094748281359,0.1918993916975132,0.8797591592793491,0.5870770187555844,0.2926821405237647,0.2324192339027584,71.43037866544726,25562.1029,3510.54678,-34.848900900000004
0.5866054931561611,0.3771835980833218,0.193056785133593,0.1841268129497287,0.9001761357405237,0.7721022327662587,0.128073902974265,0.2168050265650213,73.4611020322582,25555.154,3511.83856,-35.0244783
0.5817003804590324,0.4139166306519525,0.1742672332952987,0.2396493973566537,0.8590741247479915,0.5012859123705553,0.3577882123774362,0.2372544323784967,76.26184384398921,25568.9416,3512.1317200000003,-35.149836
0.5869639471587491,0.4270990748234718,0.1736509810143029,0.2534480938091689,0.8725897950965401,0.5908903532892223,0.2816994418073177,0.2516383641835338,76.90263344792834,25561.5449,3511.39194,-35.1732058
0.6134874632464365,0.4231690143854523,0.156128590561099,0.2670404238243533,0.8402113704460521,0.3910477713277219,0.4491635991183302,0.2315249970230654,79.4587418385471,25563.9681,3510.64776,-35.017507
0.7922782142713367,0.4139387657151117,0.1614004269873085,0.2525383387278032,0.8487309945421178,0.4937889555838472,0.3549420389582706,0.2113279032874485,79.32193573646671,25552.6469,3511.4884300000003,-35.209239700000005
0.7440284543960202,0.4270093932934957,0.1662504037419406,0.2607589895515551,0.8330325809072991,0.3715367923856141,0.461495788521685,0.2253308702716778,79.22459278257358,25558.2766,3509.70111,-35.2696763
0.6995435834725192,0.4241788616658255,0.1677416062956922,0.2564372553701333,0.8427890773609663,0.4275379833961907,0.4152510939647755,0.2399948470667972,74.68143450258829,25565.0125,3510.53925,-35.4146322
0.6197131784966957,0.4236343746464556,0.1790461740147773,0.2445882006316782,0.8504770835347724,0.4508878862921727,0.3995891972425997,0.2471976771989939,74.59951432498849,25557.5899,3510.716,-35.3537582
0.4287435561466702,0.4111110643344592,0.1538569815768141,0.257254082757645,0.8517355561618121,0.4257820447581089,0.4259535114037031,0.2482133660752672,73.8679676014904,25563.6086,3510.43168,-34.878426600000004
0.6792929015995263,0.4182160752784783,0.1637862788034051,0.2544297964750732,0.8705458520196484,0.608834674463333,0.2617111775563154,0.2338764932561019,77.3267957568904,25564.794,3510.39589,-35.1547613
