mcore,zenv,zenvice,zenvrock,zmantle,zmantleice,zmantlerock,p12,T0,req,j2,j4
0.9722844041866324,0.0892379371880365,0.0892379371880365,0.0,0.8998207954628411,0.8998207954628411,0.0,0.0724499651280373,91.25847426408274,25558.4341,3510.4177200000004,-33.7682863
0.4086638382535111,0.2276575500082201,0.2276575500082201,0.0,0.9327495924483862,0.9327495924483862,0.0,0.1322658115582443,75.12793305883221,25559.3863,3512.58159,-33.7113043
0.3749233041561456,0.192782520483525,0.192782520483525,0.0,0.9316024791437792,0.9316024791437792,0.0,0.1301084957531653,73.90582466511049,25562.0714,3510.94307,-33.616722499999995
0.2243221022586161,0.1643652181269176,0.1643652181269176,0.0,0.9363134278758024,0.9363134278758024,0.0,0.1265860031734285,76.19331565340319,25564.3159,3509.75768,-33.136350300000004
0.4368627007913331,0.2061533210908809,0.2061533210908809,0.0,0.9299263690736858,0.9299263690736858,0.0,0.1283691436287566,74.68274318154307,25558.0309,3511.64498,-33.7157133
0.4231456411362333,0.1613400469978939,0.1613400469978939,0.0,0.9269861733969604,0.9269861733969604,0.0,0.1236669921510447,73.29923199509929,25554.0078,3512.18564,-33.649457899999994
0.4476625624214043,0.2013608672175416,0.2013608672175416,0.0,0.9291284091139688,0.9291284091139688,0.0,0.1273038675781972,74.65244245040022,25558.9515,3510.92638,-33.7141936
0.4548274382138497,0.2089741908467006,0.2089741908467006,0.0,0.9292799938956616,0.9292799938956616,0.0,0.1305113000697223,73.60454518291306,25560.8785,3510.78897,-33.809927800000004
0.418866242405184,0.2244619722249166,0.2244619722249166,0.0,0.9322153327253676,0.9322153327253676,0.0,0.1304260707349356,75.6383529051921,25558.8207,3510.8919100000003,-33.6630907
0.325691151983909,0.1865879393741372,0.1865879393741372,0.0,0.9337834235397504,0.9337834235397504,0.0,0.1228373095737422,78.02127309642434,25552.8209,3510.98569,-33.267520700000006
0.4738561403054827,0.2582796688938537,0.2582796688938537,0.0,0.9324984132809836,0.9324984132809836,0.0,0.1262812605567806,79.50881699011123,25566.1933,3510.95624,-33.6162151
0.3131568617864267,0.2220048155773037,0.2220048155773037,0.0,0.937490919808826,0.937490919808826,0.0,0.1184515017281773,83.88978904043027,25558.4155,3509.8248999999996,-33.0076741
